Frame name,Biological_classification,classification.n.02
FE,Member,member.n.01
FE,Property,property.n.01
FE,Rank,rank.n.01
FE,Subtype,None
LU,class,class.n.01
LU,domain,sphere.n.01
LU,family,family.n.01
LU,genus,genus.n.01
LU,kingdom,kingdom.n.01
LU,order,order.n.01
LU,phylum,phylum.n.01
LU,species,species.n.02
LU,variety,assortment.n.01
Frame name,Employment_scenario,scenario.n.03
FE,Compensation,compensation.n.01
FE,Duration,duration.n.01
FE,Employee,employee.n.01
FE,Employer,employer.n.01
FE,Field,field.n.03
FE,Position,position.n.16
FE,Task,task.v.01
Frame name,Authority,authority.n.03
FE,Agent,agent.n.01
FE,Descriptor,form.n.01
FE,Domain,sphere.n.01
FE,Source,beginning.n.04
FE,Theme,subject.n.01
LU,authority,authority.n.01
LU,dominion,dominion.n.01
LU,jurisdiction,legal_power.n.01
LU,power,power.n.01
LU,sway,sway.n.01
Frame name,Commerce_sell,sell.v.06
FE,Back,back.n.01
FE,Buyer,buyer.n.01
FE,Explanation,explanation.n.01
FE,Goods,good.n.01
FE,purpose,purpose.n.01
FE,Manner,manner.n.01
FE,Means,entail.v.01
FE,Money,money.n.01
FE,iterations,iteration.n.01
FE,Place,topographic_point.n.01
FE,Purpose,purpose.n.01
FE,Rate,rate.n.01
FE,Relay,relay.n.01
FE,Result,leave.v.07
FE,Seller,seller.n.01
FE,Time,time.n.01
FE,Unit,unit.n.03
LU,auction,auction.n.02
LU,auction,auction.n.02
LU,retail,retail.v.01
LU,retailer,retailer.n.01
LU,sale,sale.n.01
LU,sell,sell.n.01
LU,seller,seller.n.01
LU,vend,peddle.v.01
LU,vendor,seller.n.01
Frame name,Locale,venue.n.01
FE,parts,parts.n.01
FE,possessor,owner.n.02
FE,Descriptor,form.n.01
FE,cause,cause.n.01
FE,purpose,purpose.n.01
FE,Locale,venue.n.01
FE,Name,name.n.06
FE,event,event.n.02
FE,location,location.n.01
LU,area,area.n.01
LU,earth,earth.n.01
LU,grounds,evidence.n.01
LU,locale,venue.n.01
LU,location,location.n.01
LU,place,topographic_point.n.01
LU,pocket,pouch.n.02
LU,point,point.n.01
LU,region,region.n.01
LU,regional,regional.s.02
LU,site,site.n.01
LU,spot,topographic_point.n.01
LU,zone,zone.n.01
